0,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,Target
2018-02-19,11225.2998046875,11273.7998046875,10513.2001953125,10552.599609375,7652089856,9103.446533203125,11550.00263671875,78.3618396434194,1
2018-02-20,11403.7001953125,11958.5,11231.7998046875,11231.7998046875,9926540288,9162.5765625,11504.93263671875,76.41860385549896,0
2018-02-21,10690.400390625,11418.5,10479.099609375,11372.2001953125,9405339648,9238.569580078125,11419.09865234375,70.49334251115972,0
2018-02-22,10005.0,11039.099609375,9939.08984375,10660.400390625,8040079872,9297.282080078125,11315.17865234375,61.551167058567785,1
2018-02-23,10301.099609375,10487.2998046875,9734.5595703125,9937.0703125,7739500032,9353.591552734375,11209.216640625,60.634677913591055,0
2018-02-24,9813.0703125,10597.2001953125,9546.9697265625,10287.7001953125,6917929984,9430.394580078126,11056.888046875,57.70803013805799,0
2018-02-25,9664.73046875,9923.2197265625,9407.0595703125,9796.419921875,5706939904,9565.867602539063,10899.64265625,60.39356816028107,1
2018-02-26,10366.7001953125,10475.0,9501.73046875,9669.4296875,7287690240,9696.502612304688,10777.42466796875,59.87934374638659,1
2018-02-27,10725.599609375,10878.5,10246.099609375,10393.900390625,6966179840,9851.717602539062,10688.53466796875,64.53219933418644,0
2018-02-28,10397.900390625,11089.7998046875,10393.099609375,10687.2001953125,6936189952,9958.333129882812,10604.58466796875,56.69028963390597,1
2018-03-01,10951.0,11052.2998046875,10352.7001953125,10385.0,7317279744,10069.034106445313,10524.138671875,55.91531214954153,1
2018-03-02,11086.400390625,11189.0,10850.099609375,10977.400390625,7620590080,10192.259106445312,10477.75068359375,56.36209423210742,1
2018-03-03,11489.7001953125,11528.2001953125,11002.400390625,11101.900390625,6690570240,10360.24560546875,10427.9326953125,53.02843456303868,1
2018-03-04,11512.599609375,11512.599609375,11136.099609375,11497.400390625,6084149760,10489.5470703125,10370.98068359375,58.44831935926457,1
2018-03-05,11573.2998046875,11704.099609375,11443.900390625,11532.400390625,6468539904,10638.29658203125,10327.0066796875,53.429560014028056,0
2018-03-06,10779.900390625,11500.099609375,10694.2998046875,11500.099609375,6832169984,10702.560107421876,10266.20869140625,44.51704454253784,0
2018-03-07,9965.5703125,10929.5,9692.1201171875,10803.900390625,8797910016,10692.518603515626,10235.71009765625,43.74020412528195,0
2018-03-08,9395.009765625,10147.400390625,9335.8701171875,9951.4404296875,7186089984,10650.574072265625,10199.83830078125,44.6253777370881,0
2018-03-09,9337.5498046875,9466.349609375,8513.0302734375,9414.6904296875,8704190464,10561.816552734375,10157.0912890625,41.13746873514004,0
2018-03-10,8866.0,9531.3203125,8828.4697265625,9350.58984375,5386319872,10477.5265625,10102.26328125,41.26255613388741,1
2018-03-11,9578.6298828125,9711.8896484375,8607.1201171875,8852.7802734375,6296370176,10395.19306640625,10035.851875,49.2805643270163,0
2018-03-12,9205.1201171875,9937.5,8956.4296875,9602.9296875,6457399808,10285.2640625,9987.95228515625,39.73041362295136,0
2018-03-13,9194.849609375,9470.3798828125,8958.1904296875,9173.0400390625,5991139840,10210.4865234375,9953.22126953125,35.57749000215672,0
2018-03-14,8269.8095703125,9355.849609375,8068.58984375,9214.650390625,6438230016,10123.727001953124,9901.249453125,31.978006728252723,1
2018-03-15,8300.8603515625,8428.349609375,7783.0498046875,8290.759765625,6834429952,10023.7150390625,9840.07865234375,25.380062058280203,1
2018-03-16,8338.349609375,8585.150390625,8005.31005859375,8322.91015625,5289379840,9949.97900390625,9781.65763671875,23.99742377116287,0
2018-03-17,7916.8798828125,8346.5302734375,7812.81982421875,8321.91015625,4426149888,9862.586474609376,9716.5672265625,16.30914598748788,1
2018-03-18,8223.6796875,8245.509765625,7397.990234375,7890.52001953125,6639190016,9755.43544921875,9652.22681640625,20.562415105422247,1
2018-03-19,8630.650390625,8675.8701171875,8182.39990234375,8344.1201171875,6729110016,9650.68798828125,9589.113828125,25.199035837726683,1
2018-03-20,8913.4697265625,9051.01953125,8389.8896484375,8619.669921875,6361789952,9576.466455078125,9541.45521484375,32.78819800229715,1
2018-03-21,8929.2802734375,9177.3701171875,8846.330078125,8937.48046875,6043129856,9475.38046875,9517.91482421875,38.793061750471495,0
2018-03-22,8728.4697265625,9100.7099609375,8564.900390625,8939.4404296875,5530390016,9357.483935546876,9488.0622265625,42.16513777475343,1
2018-03-23,8879.6201171875,8879.6201171875,8360.6201171875,8736.25,5954120192,9226.979931640624,9482.243828125,44.733257437370106,0
2018-03-24,8668.1201171875,8996.1796875,8665.7001953125,8901.9501953125,5664600064,9084.75595703125,9478.99123046875,47.57934514052005,0
2018-03-25,8495.7802734375,8682.009765625,8449.099609375,8612.8095703125,4569880064,8930.87998046875,9465.4086328125,34.73583212193296,0
2018-03-26,8209.400390625,8530.080078125,7921.43017578125,8498.4697265625,5921039872,8802.35498046875,9464.0564453125,35.610576416923905,0
2018-03-27,7833.0400390625,8232.7802734375,7797.27978515625,8200.0,5378250240,8695.728466796874,9481.611845703124,32.20317957841297,1
2018-03-28,7954.47998046875,8122.89013671875,7809.169921875,7836.830078125,4935289856,8623.701977539062,9485.6214453125,44.783441685324874,0
2018-03-29,7165.7001953125,7994.330078125,7081.3798828125,7979.06982421875,6361229824,8515.109497070312,9476.509453125,34.98513114585117,0
2018-03-30,6890.52001953125,7276.66015625,6683.93017578125,7171.4501953125,6289509888,8416.335498046876,9449.008056640625,31.98235833921636,1
2018-03-31,6973.52978515625,7207.85009765625,6863.52001953125,6892.47998046875,4553269760,8286.080493164063,9413.73904296875,37.18048266355563,0
2018-04-01,6844.22998046875,7060.9501953125,6526.8701171875,7003.06005859375,4532100096,8168.035986328125,9378.185634765625,30.30399240580212,1
